NS,EW,UD
0.197,-0.941,-0.350
0.993,-1.116,-0.162
0.904,-1.648,-0.015
1.012,-1.106,-0.242
1.192,-0.887,0.392
1.088,-1.279,0.039
0.752,-0.891,0.026
-0.028,-0.868,0.575
-0.133,-0.681,-0.303
-0.100,-0.067,-0.235
-0.706,0.198,0.031
-0.834,0.455,-0.592
-0.581,0.347,-0.239
-0.698,0.386,0.192
-0.897,0.985,0.030
-0.623,1.282,-0.395
0.053,0.778,-0.673
0.639,-0.320,-0.235
0.425,-0.848,0.028
-0.131,-0.077,-0.416
-0.227,0.500,-0.945
-0.042,-0.060,-0.589
0.334,-0.002,0.038
0.299,1.251,-0.667
0.204,1.275,-0.672
0.287,-0.230,0.045
-0.040,0.023,-0.494
-0.269,1.084,0.328
-0.528,0.167,0.805
-0.677,-0.684,-0.492
-1.011,-0.723,-0.158
-1.976,-0.529,-0.249
-2.014,-0.246,-0.701
-1.070,-0.807,0.064
-0.664,-0.916,-0.416
-1.125,-0.495,-0.490
-1.610,-0.780,0.248
-0.740,-0.721,-0.050
0.390,-0.838,0.457
-0.024,-0.709,0.709
0.076,0.680,0.251
0.911,0.311,0.977
1.292,-0.759,0.539
2.057,-0.110,-0.254
2.161,0.567,0.289
1.945,1.395,-0.389
2.244,2.190,-0.739
2.051,1.953,-0.138
1.954,1.543,-0.848
1.658,1.047,-0.743
0.581,0.598,-0.258
0.202,1.026,-0.419
-0.016,0.706,0.206
-0.283,0.180,0.092
-0.208,0.154,0.291
-0.682,-0.841,0.736
-0.310,-0.798,0.559
-0.538,-0.289,0.755
-1.929,-0.361,0.636
-1.842,-0.571,1.364
-1.187,-1.491,1.004
-0.926,-1.790,-0.043
-1.409,-1.626,0.263
-1.713,-1.722,-0.307
-0.929,-1.620,-0.251
-0.443,-1.253,0.417
-0.850,-1.222,0.262
-0.580,-0.693,0.078
0.285,-0.122,0.500
0.543,-0.112,0.840
1.314,0.652,0.590
1.178,0.643,0.898
0.409,0.779,0.609
0.084,1.532,0.233
-0.698,1.817,0.306
-0.619,2.037,-0.366
-0.938,1.219,-0.386
-1.313,0.896,0.124
-0.604,1.345,-0.021
-0.566,1.138,0.122
-0.704,0.614,0.541
-0.303,0.429,0.119
-0.140,0.221,0.506
-0.361,-0.489,1.021
-0.207,-0.482,0.434
-0.179,-0.259,0.636
-0.175,0.105,0.225
-0.128,0.629,-0.165
-0.446,0.840,0.326
-0.357,1.409,0.011
-0.815,1.384,-0.108
-1.293,1.446,0.158
-1.300,1.614,0.247
-1.712,1.190,-0.334
-1.776,0.700,-0.401
-2.011,-0.288,-0.081
-2.148,-0.246,-0.301
-2.211,-0.006,0.482
-2.815,-0.628,-0.035
-3.209,-0.561,-1.079
-3.036,-0.663,-0.097
-2.027,-0.977,1.063
-1.791,-0.715,1.113
-1.928,-0.083,0.205
-1.028,-0.428,1.047
-0.760,-0.374,1.403
-1.038,1.733,0.045
-0.273,1.510,0.694
1.610,-0.094,0.326
2.219,0.744,-0.472
0.882,1.339,0.745
0.085,1.247,0.524
0.379,0.913,0.124
0.586,0.075,0.653
0.396,0.546,0.322
0.212,0.568,0.642
0.422,-0.117,1.461
0.467,-0.156,0.992
-0.797,-1.098,0.011
-1.161,-1.271,0.028
0.481,-0.892,-0.117
1.186,-1.750,-0.890
0.080,-2.005,-0.237
-1.245,-1.363,-0.060
-0.926,-1.031,-0.231
-0.060,-0.652,0.283
-0.181,0.492,-0.410
-0.553,0.005,0.021
-0.377,-1.242,0.146
0.151,-0.838,-0.435
-0.188,-0.994,0.535
-0.202,-0.058,0.102
0.089,2.266,-0.295
-0.247,3.059,-0.342
0.138,2.505,-0.874
0.832,0.941,-0.122
0.852,0.247,-0.118
-0.534,0.808,-0.528
-1.743,0.504,-0.196
-1.154,-0.805,-0.150
-0.432,-1.763,-0.192
-0.058,-1.638,0.442
0.348,-0.861,0.760
0.924,-0.276,0.361
0.579,-0.966,0.991
-0.530,-1.482,0.313
-0.246,-1.304,-1.021
0.423,-1.360,-0.669
0.486,-0.578,-1.108
0.430,-0.766,-0.677
0.801,-1.518,-0.111
1.204,-1.073,-0.717
0.362,-1.115,0.085
-0.281,-0.319,0.274
-0.129,0.565,-0.296
0.114,0.294,0.216
0.153,0.685,0.691
-0.391,0.986,0.020
-0.412,0.967,-0.376
-0.247,0.908,-0.126
-0.329,1.041,-0.376
-0.492,1.271,0.527
-0.913,1.413,0.539
-0.941,1.516,-0.192
-0.582,0.707,0.449
-0.147,0.981,-0.528
-0.538,1.889,-0.547
-0.557,1.479,0.586
0.729,1.237,-0.030
0.697,1.150,0.180
-0.691,1.653,0.557
-1.185,2.416,0.283
-0.111,1.853,0.834
0.350,1.180,1.247
-0.915,1.580,0.515
-1.405,1.608,0.154
-0.276,0.646,0.623
0.281,0.665,0.431
-1.146,0.853,0.372
-1.563,0.157,0.389
0.149,-0.051,0.196
0.674,-0.041,0.888
-0.429,0.022,0.859
-1.158,0.163,0.157
-0.005,0.287,0.744
1.204,1.220,0.623
1.133,1.648,0.338
1.306,0.343,1.334
1.585,0.647,0.409
1.417,1.747,0.343
0.665,0.217,1.603
0.524,-1.115,0.176
0.981,-1.424,-0.233
0.878,-1.093,0.293
0.089,-0.232,-0.043
-1.324,-0.015,-0.149
-1.297,-0.087,-0.860
-0.124,-1.086,-0.882
0.143,-0.983,-0.859
-0.053,-0.013,-1.047
0.168,-1.077,0.062
0.198,-1.396,0.119
-0.622,0.106,-0.535
-1.063,-0.074,0.412
-0.361,-1.403,0.022
0.913,-1.152,-0.771
0.740,-0.922,0.565
-0.248,-0.381,0.014
0.120,0.697,-0.300
0.885,0.290,0.987
1.351,0.279,0.182
0.132,0.143,-0.081
-0.293,-0.806,0.491
1.524,-1.741,0.246
0.582,-2.022,-0.376
-1.148,0.019,-0.381
-0.821,0.484,0.106
-0.044,-1.756,-0.431
1.164,-2.029,-0.072
1.039,-0.924,0.185
-0.774,-1.357,-0.544
-0.898,-2.041,-0.338
0.886,-1.306,-0.384
1.432,-0.306,-0.746
0.757,0.253,-0.669
0.489,-0.101,-0.487
1.153,-0.418,-0.461
1.238,-0.349,-0.156
0.617,-0.637,-0.289
1.504,-0.294,-0.770
1.458,0.119,-0.547
1.077,0.673,-0.672
1.991,0.503,-0.717
1.579,-0.391,-0.785
1.300,0.198,-0.599
1.066,0.566,-0.241
-0.192,0.125,-0.869
-0.573,-0.472,-0.841
-0.133,-1.693,-0.815
-0.153,-2.767,-0.763
-1.005,-2.801,-0.098
-1.488,-2.241,0.051
-0.887,-2.019,-0.021
-0.329,-1.543,-0.450
-0.285,-1.616,-0.106
0.270,-2.390,0.247
0.451,-2.276,-0.231
-0.144,-1.764,-0.243
0.319,-1.520,-0.328
0.700,-1.832,-0.158
0.417,-1.667,-0.277
0.511,-0.738,-0.538
0.519,-0.810,-0.231
0.383,-0.791,-0.457
0.172,0.299,-0.199
-0.111,1.104,-0.051
-0.553,1.657,-0.673
-0.916,1.710,-0.679
-0.928,1.238,-0.803
-1.126,1.318,-0.665
-1.683,1.457,-0.163
-1.951,1.682,-0.246
-1.697,1.919,-0.344
-0.953,1.605,-0.342
0.267,1.056,-0.028
0.921,1.103,0.081
0.775,1.953,-0.118
0.702,1.766,-0.109
1.238,0.903,0.078
1.657,0.294,0.296
1.732,-0.071,-0.266
1.793,-0.255,0.019
1.289,-0.770,0.673
0.967,-0.491,0.535
0.495,-0.686,1.120
0.285,-1.448,0.729
0.970,-1.041,-0.066
0.830,-0.722,0.109
0.180,-0.537,-0.036
-0.410,-0.628,-0.104
-0.536,-1.204,0.105
-0.683,-0.951,0.254
-2.077,-0.148,0.286
-2.684,-0.107,0.608
-1.479,-0.944,0.907
-1.061,-1.350,0.997
-2.018,-0.571,1.099
-1.948,0.560,0.629
-0.831,0.918,0.568
-0.291,0.596,0.872
-0.421,0.520,0.339
-0.264,0.819,-0.311
0.211,0.853,-0.486
-0.162,0.608,-0.937
-0.435,0.178,-1.141
-0.117,-0.867,-0.549
0.135,-1.273,-1.105
0.681,-0.973,-1.196
0.342,-1.423,0.018
-0.647,-1.547,0.011
-1.138,-1.567,0.287
-1.109,-1.970,0.353
-0.465,-1.758,-0.256
-0.190,-1.234,-0.069
-0.012,-0.721,-0.352
0.160,-0.600,-0.621
-0.188,-0.325,-0.910
0.079,0.153,-1.034
0.803,-0.296,-0.560
1.070,-0.861,-0.827
0.786,-1.135,-0.711
0.022,-0.957,-0.559
-0.385,0.024,-0.436
0.274,0.225,0.507
0.980,0.053,0.570
0.544,0.570,0.558
-0.098,0.741,0.328
0.457,0.690,-0.242
1.173,0.062,0.177
1.069,-0.362,0.305
1.113,0.656,0.590
1.402,1.000,0.179
1.637,0.335,-0.351
1.698,-0.047,0.783
1.350,0.119,0.446
1.006,0.322,0.466
0.296,-0.573,1.223
-0.389,-0.820,-0.123
-0.185,-0.109,0.347
-0.691,-0.571,0.875
-1.328,-0.643,-0.222
-1.155,-0.594,0.873
-1.274,-0.667,0.899
-1.117,0.270,-0.118
-1.237,-0.115,0.245
-1.084,-0.539,0.086
-0.640,-0.141,0.073
-1.140,-0.374,0.173
-0.768,-0.251,-0.146
0.019,-0.597,-0.421
0.088,-1.162,0.129
0.089,-0.082,0.239
-0.114,0.968,-0.465
0.189,0.105,0.441
1.159,-0.518,0.762
0.608,-0.678,0.566
-0.138,-1.153,0.730
1.341,-0.874,-0.024
2.349,-1.217,-0.001
2.428,-1.614,-0.202
2.426,-1.024,-0.656
1.937,-0.145,-0.616
1.529,0.941,-1.054
0.499,1.168,-1.158
0.204,0.589,-0.648
1.394,-0.765,0.124
1.930,-1.609,-0.066
1.087,-0.178,-0.288
-0.465,1.189,0.479
-0.848,1.646,0.432
0.078,1.712,0.316
0.584,0.805,0.411
0.637,0.350,0.009
0.287,1.194,-0.365
-0.863,1.549,-0.456
-1.880,0.743,-0.047
-1.899,0.389,0.167
-1.615,0.379,0.500
-1.382,0.419,0.978
-1.182,1.186,0.917
-1.502,1.171,1.671
-2.383,0.432,1.996
-3.135,0.615,0.719
-2.707,0.902,0.737
-1.671,1.221,0.980
-1.383,1.854,0.054
-1.741,1.305,0.349
-1.336,0.423,0.384
0.080,0.492,-0.182
0.666,1.074,0.181
0.497,2.003,0.345
0.756,1.790,0.683
1.902,0.556,0.797
3.153,0.400,0.287
2.564,1.361,-0.520
1.991,2.123,-1.204
2.832,1.879,-0.674
2.570,1.643,-0.229
1.021,1.003,0.293
0.347,-0.312,0.536
0.977,-0.376,0.231
0.722,0.015,0.495
-0.377,0.088,-0.247
-0.691,-0.522,-0.677
-0.956,-0.979,-0.544
-1.409,0.190,-0.463
-1.858,0.076,0.347
-2.249,-0.752,0.099
-2.620,0.059,0.119
-2.736,0.276,0.835
-2.182,-0.200,0.719
-1.653,0.230,0.855
-1.758,0.677,0.793
-1.723,0.901,-0.192
-1.029,0.672,-0.627
-0.615,0.278,-0.854
0.211,0.839,-0.873
0.062,0.141,0.096
-1.007,-0.050,-0.494
-0.343,0.023,-0.537
-0.349,-1.885,0.646
-0.477,-1.168,-0.100
-0.573,-0.637,-0.358
-1.102,-1.536,-0.112
-0.201,-0.971,0.427
-0.437,-0.983,0.601
-0.619,-0.719,-0.322
0.185,-1.476,0.161
-0.090,-1.922,0.088
-0.515,-0.194,-0.051
-1.177,-0.288,0.324
-1.332,-1.116,-0.317
-0.883,-0.630,-0.216
-1.268,0.165,-0.345
-1.370,0.498,-0.211
-0.379,0.080,0.271
0.448,0.057,-0.305
0.367,0.327,0.500
-0.199,0.448,1.084
-0.068,0.637,0.372
0.923,-0.119,0.730
0.681,-0.409,0.294
-0.234,0.798,-0.162
-0.101,0.606,0.501
0.152,-0.347,-0.086
0.534,-0.632,-0.220
0.955,-0.824,0.062
1.427,-0.172,-0.237
1.828,-0.010,0.592
1.137,-0.015,1.246
0.433,0.284,1.119
0.185,-0.109,0.998
-0.002,0.693,1.395
0.171,1.895,1.226
0.124,1.243,0.522
-0.264,-0.240,0.670
-0.429,0.666,-0.255
-1.382,3.046,-0.266
-2.002,3.176,0.132
-0.207,1.358,-0.394
0.787,-0.922,0.512
-0.094,-0.533,-0.138
-1.560,0.379,-0.463
-2.242,-0.955,0.262
-0.712,-1.347,0.338
-0.565,-2.121,1.118
-0.521,-1.865,0.703
1.064,-0.724,0.678
1.790,-1.247,0.486
2.241,-1.297,0.676
0.948,-1.556,1.119
0.240,-0.624,-0.280
1.656,-0.062,0.077
2.342,-0.882,-0.357
1.792,0.000,-0.257
0.248,0.396,0.767
0.526,0.090,-0.431
1.362,-0.304,-0.111
0.973,0.173,-0.166
0.630,0.758,-0.340
0.120,0.403,-0.371
-0.170,0.823,0.170
-0.973,0.391,1.403
-0.593,1.449,-0.244
0.239,2.766,0.293
-0.008,1.248,0.329
-0.254,0.331,-1.163
-1.366,-0.287,0.458
-0.836,-0.045,0.486
0.672,0.895,0.549
1.036,0.691,0.529
0.877,0.540,-0.639
-0.016,0.217,0.287
-0.056,-0.129,0.234
0.515,-0.014,-0.227
0.019,-0.595,0.305
-0.860,-1.168,-0.511
-0.193,-0.647,-0.482
-0.152,-0.642,0.310
-1.228,-0.364,-0.434
-0.524,0.021,0.011
-0.039,-0.779,0.322
-0.372,-0.170,-0.462
-0.867,0.611,0.521
-0.737,0.917,0.016
0.680,1.447,-0.879
0.926,0.913,0.240
0.848,2.018,0.254
0.878,2.661,0.255
0.298,1.040,0.150
0.940,0.603,-0.281
1.128,0.569,-0.109
0.601,1.619,-0.492
1.061,2.046,-0.136
0.626,0.229,0.304
-0.107,-0.350,-0.008
0.086,-0.674,-0.101
0.658,-1.065,-0.046
1.496,-1.036,-0.061
1.544,-1.034,-0.266
0.691,-0.745,0.708
0.132,-1.139,1.254
-0.175,-1.093,0.176
-0.380,-0.674,-0.209
0.059,-0.685,0.432
-0.137,-0.026,0.691
-0.290,0.770,-0.113
0.335,0.000,-0.030
0.020,-0.854,-0.049
-0.203,0.327,-0.325
-0.262,0.799,0.490
-0.128,0.604,-0.183
0.366,1.267,0.056
-0.076,1.147,0.463
-0.158,1.257,-0.634
0.096,0.518,0.402
0.154,-0.582,-0.380
0.595,0.542,-1.176
0.042,0.234,0.661
0.089,-0.342,-0.243
1.202,0.008,-0.513
0.333,-0.766,-0.190
-0.359,-0.047,-1.039
0.134,-0.226,-0.815
0.825,-1.633,-0.836
1.450,-1.825,0.133
0.571,-0.793,-0.166
0.234,1.181,-0.976
1.237,0.373,-0.369
2.169,-0.350,-0.777
1.927,0.949,-0.469
1.069,0.475,-0.508
1.119,-0.093,-0.589
1.220,1.098,-0.792
0.313,1.640,-1.042
-0.722,0.476,-0.114
0.262,-0.638,-0.624
1.067,-1.596,-0.530
0.848,-1.198,-0.219
0.069,-0.694,-0.683
-0.701,-1.184,-0.445
0.892,-1.006,-0.265
0.893,-1.633,-0.533
0.187,-1.335,-1.075
0.535,-1.280,-0.607
-0.056,-2.591,-0.754
-0.134,-2.432,-0.443
-0.947,-2.501,-0.185
-0.715,-3.490,-1.348
1.284,-4.287,0.053
2.049,-2.943,0.445
1.544,-0.854,-0.589
0.505,-1.101,0.029
0.279,-1.335,-0.440
0.872,0.302,-0.975
0.816,2.132,-1.075
0.768,2.004,-0.956
1.616,1.177,0.153
0.972,2.032,0.082
0.615,3.553,-0.193
2.124,3.148,0.608
1.937,2.464,-0.047
1.246,2.944,-0.473
0.799,1.990,-0.037
0.712,1.358,-0.446
0.796,1.100,-0.108
-0.340,0.459,-0.377
-0.791,0.468,-0.697
-1.469,-0.592,-0.604
-1.816,-0.761,-0.935
-1.171,-1.126,-0.402
-1.331,-1.957,-1.037
-1.005,-1.297,-0.805
-0.775,-2.376,0.002
-1.426,-2.449,-0.678
-1.635,-0.360,-0.234
-0.271,-0.048,-0.332
1.179,-0.355,-0.050
0.629,0.538,0.183
-0.093,1.656,-0.639
0.605,1.770,-0.129
1.613,2.037,-0.273
0.966,2.951,-0.292
0.281,3.400,0.011
1.187,2.401,0.316
1.111,1.596,0.418
-0.035,2.654,-0.575
-0.672,1.291,0.559
0.597,-0.658,0.051
1.913,-0.178,-0.986
0.202,-1.653,0.465
-0.609,-2.109,-0.125
-0.398,-1.967,0.827
-0.504,-3.024,0.711
0.319,-2.079,-0.634
-0.881,-3.041,0.526
-0.560,-3.177,-0.240
1.315,-1.232,0.412
0.596,-0.337,0.678
0.460,1.670,-0.408
0.998,1.826,0.137
1.787,0.064,-0.300
1.325,-1.674,-0.467
-0.220,-2.488,-1.158
-0.129,-1.793,-0.756
0.037,-0.131,-0.609
-0.331,2.146,-1.335
-0.809,2.022,0.360
0.031,1.590,0.125
0.703,1.682,0.385
-0.025,1.118,0.347
-0.460,0.808,-1.478
-1.022,-0.750,0.220
-1.565,-0.328,0.331
-2.793,1.154,-0.465
-2.805,-0.594,0.240
-0.013,-1.536,-0.855
1.027,-1.597,-0.532
-0.413,-1.302,-0.087
-1.142,0.398,0.153
-1.279,-0.024,0.420
-0.707,0.966,-0.775
-0.030,2.732,0.182
0.254,1.460,0.008
1.158,1.062,-0.650
0.501,0.710,0.344
-0.403,0.619,-0.434
-0.106,0.839,0.151
-0.576,-0.193,0.605
-1.525,-0.272,-0.119
-3.265,0.030,0.329
-4.372,-0.261,-0.166
-3.047,-0.833,-0.940
-2.274,-1.376,-0.912
-3.784,-1.339,-0.526
-4.188,-1.119,0.066
-3.304,-1.523,0.865
-2.071,-1.500,1.514
-0.292,-1.786,1.445
-0.172,-2.502,0.078
-0.141,-0.549,-1.086
0.113,1.105,-0.732
0.554,0.717,-0.945
1.952,0.589,-0.357
1.181,0.180,0.107
-0.167,-0.389,-0.967
-0.327,-0.754,-0.221
-0.674,-0.157,0.362
-1.364,1.310,-0.122
-2.401,2.047,0.284
-2.140,1.199,0.268
-0.982,-0.780,-0.183
-2.035,-1.831,-0.249
-3.804,-0.564,-0.457
-2.811,1.958,-0.471
-1.185,3.919,-0.261
-1.605,5.196,-0.212
-3.876,4.202,0.574
-5.136,-0.210,1.246
-2.845,-5.086,1.043
-0.407,-5.618,0.400
0.227,-0.186,0.378
0.935,5.270,1.025
2.747,4.735,1.570
3.846,-0.842,2.627
3.200,-3.698,1.478
2.510,-0.116,-0.208
1.570,4.476,-0.715
0.785,5.088,-1.944
-0.006,1.665,-1.015
-0.003,-0.581,-0.500
1.193,-1.312,-0.031
1.091,-0.942,1.361
0.284,1.858,0.361
-1.413,0.964,1.034
-2.593,-1.226,1.003
-2.003,-0.666,-0.801
-1.530,-1.293,-0.183
-0.583,-1.129,0.274
-0.507,0.607,0.151
-0.690,1.703,-0.055
0.812,0.983,0.338
1.704,-0.865,0.944
0.966,-0.279,0.898
-0.446,0.675,1.377
-0.609,-0.105,0.225
0.652,-0.244,-0.985
1.793,-0.283,-0.652
2.398,-0.717,-0.757
2.133,-0.671,-0.314
0.778,-0.960,-0.266
-1.064,-1.714,-0.607
-0.976,-1.112,-0.070
1.281,1.122,0.194
2.663,2.357,0.850
2.203,2.032,1.242
1.265,1.766,0.259
1.225,0.295,-0.077
1.699,-1.893,0.193
1.957,-0.714,-0.172
1.637,2.038,-0.196
0.328,1.442,0.026
-0.717,-0.372,-0.286
-0.957,-0.112,-0.412
-0.987,-0.531,-0.353
-0.778,-2.592,-0.364
-0.676,-2.891,0.300
-0.798,-1.227,1.117
-0.608,0.426,0.631
0.137,0.206,0.259
1.085,-2.126,0.836
1.850,-2.488,0.393
1.071,-1.085,0.427
-1.556,-0.805,0.996
-3.151,0.222,0.219
-2.827,1.287,-0.156
-1.366,0.992,-0.172
0.690,0.202,-0.225
1.713,-0.795,-0.642
1.426,-1.239,-0.661
0.042,-1.006,0.595
-1.209,0.678,-0.001
-0.791,1.355,0.123
-0.168,-0.690,1.358
-0.240,-0.041,0.099
-0.725,2.511,0.241
-0.626,2.680,0.605
0.511,1.853,-0.442
0.088,1.619,-0.010
-1.091,3.060,0.000
-0.828,3.087,-0.082
-0.457,0.239,0.304
-0.602,-0.769,0.359
-1.355,-0.150,0.713
-1.780,0.978,0.200
-1.519,2.549,-0.188
-1.918,2.390,0.463
-1.619,2.113,0.377
0.599,2.212,0.209
2.681,0.993,0.629
2.941,0.510,0.725
1.204,1.757,0.914
-0.859,2.170,0.703
-0.684,0.742,-0.117
0.672,0.040,-0.475
1.370,-0.211,-0.476
1.295,-2.097,-0.685
0.762,-2.811,-0.912
0.355,-1.849,-0.117
0.148,-0.330,0.038
0.750,1.017,0.090
1.561,-0.481,1.589
1.948,-1.970,1.533
1.266,-2.141,1.543
-0.265,-1.849,1.600
-0.424,0.081,0.070
-0.508,1.184,-0.425
0.147,1.570,-0.546
2.073,0.718,-0.654
2.828,-0.560,-0.999
2.520,0.658,-0.823
0.284,0.880,-0.504
-1.066,-0.369,-0.532
-0.370,-1.734,1.017
-0.404,-1.886,0.260
-0.198,-1.062,-0.562
-0.184,-1.929,0.237
0.144,-1.451,-0.687
0.126,-0.439,-0.088
-0.604,-0.625,-0.119
0.625,-0.053,-0.633
1.596,0.814,-0.226
0.995,1.620,-1.168
0.425,0.802,-0.559
0.286,0.029,-0.070
0.414,0.922,0.305
0.267,1.404,1.315
0.291,1.859,0.563
0.660,1.136,0.569
0.794,-0.537,0.060
0.246,-1.167,-0.593
-0.788,-1.429,-0.172
-0.890,-0.586,-0.889
-0.612,-0.410,-0.380
-0.822,-1.257,-0.141
0.223,-0.717,-0.284
1.727,-1.208,0.486
1.682,-1.866,-0.015
0.412,-1.365,0.327
-0.197,-1.081,0.366
0.528,-0.788,0.180
1.094,-0.940,0.551
2.132,-0.802,0.155
3.069,-0.304,0.747
2.715,0.984,0.241
1.798,1.442,-0.217
1.090,0.068,-0.256
1.196,-0.236,-1.068
0.675,-0.981,-0.436
0.259,-2.123,-0.490
0.093,-2.576,-0.091
-0.417,-2.500,0.359
-0.235,-1.818,-0.002
-0.931,-2.155,0.798
-1.582,-1.841,0.845
-2.005,-1.654,1.536
-2.978,-2.138,1.505
-3.180,-0.787,0.535
-3.547,0.422,1.176
-3.165,0.960,0.467
-1.711,1.054,-0.104
-0.913,0.401,-0.024
-0.526,0.570,-0.621
-0.555,0.838,-0.510
-0.494,0.753,-0.399
-0.068,0.208,-0.010
0.119,-0.484,0.118
0.237,0.020,0.163
-0.051,0.895,0.031
-0.303,0.922,-0.473
-0.264,-0.529,-0.210
-0.356,-1.145,-0.468
-0.533,-0.564,-0.089
-0.445,-0.368,-0.130
0.238,0.448,-0.783
-0.036,0.024,-0.132
-0.799,-0.763,-0.248
-0.911,-0.877,0.049
-0.229,-1.539,0.208
0.634,-1.082,-0.219
-0.555,-0.018,-0.064
-1.486,0.569,-0.029
-0.388,0.499,0.616
0.670,-0.348,0.803
0.377,-1.410,0.377
-0.610,-1.022,-0.123
-0.869,0.457,0.121
-0.570,1.300,0.048
0.180,1.567,-0.686
0.040,0.118,-0.182
-0.253,-0.897,-0.810
-0.301,-0.751,-0.753
-0.993,-1.044,-0.425
-0.007,-1.204,-1.087
0.925,-2.522,-0.322
1.043,-2.458,-0.635
0.932,-1.444,-0.313
0.494,-1.679,-0.015
1.393,-0.902,-0.608
1.410,-0.669,0.026
0.926,-0.251,-0.359
1.272,0.752,-0.052
1.198,0.285,0.419
0.614,0.040,0.130
0.165,0.382,0.542
0.570,0.292,0.526
1.118,0.547,0.052
1.135,1.073,-0.200
-0.335,0.922,0.102
-0.830,1.552,-0.350
-0.111,1.337,-0.264
-0.353,-0.041,0.197
0.365,0.492,-0.160
-0.113,0.509,0.382
-0.680,0.313,0.099
0.153,0.183,-0.016
-0.412,-0.483,0.137
-0.370,0.538,-0.376
-0.399,-0.224,0.212
-0.616,-1.412,0.230
-0.495,-0.278,0.113
-1.487,-0.029,0.161
-0.878,0.565,0.267
0.101,1.152,0.594
-0.278,0.467,0.035
-0.216,0.308,-0.347
-0.238,0.320,-0.581
-0.502,0.247,-0.131
-0.203,0.922,-0.024
0.023,1.073,-0.017
-0.688,0.887,0.358
-0.999,2.339,-0.416
-0.772,2.225,0.362
0.280,0.746,0.460
0.932,1.012,-0.231
-0.539,1.460,0.464
-0.562,1.622,0.119
0.009,0.955,0.681
-0.079,0.463,0.747
-0.251,0.442,0.059
-1.309,-0.243,0.638
-0.808,0.043,0.137
0.011,0.546,0.067
-0.310,-0.028,0.368
-0.384,-0.597,-0.106
-0.555,-0.040,0.250
-0.577,0.776,0.138
0.252,0.534,-0.207
0.859,0.009,-0.002
0.642,-0.086,-0.575
0.586,-0.270,-0.757
0.506,-0.507,-0.738
0.870,-0.029,-0.731
0.855,0.257,0.213
0.385,0.068,0.032
1.548,0.004,0.119
1.973,-0.148,0.542
1.399,0.515,-0.620
1.537,0.664,-0.280
1.522,-0.039,-0.243
1.663,0.159,-0.891
0.985,-0.013,0.056
0.308,0.210,-0.428
0.709,0.396,-0.813
0.963,-0.114,-0.392
1.385,0.534,-0.595
0.835,0.419,-0.344
0.094,-0.270,-0.075
0.326,-0.454,0.034
-0.034,-0.573,-0.337
-0.992,-0.492,-0.034
-1.313,-0.573,0.218
-0.831,-0.627,-0.236
-1.040,-1.139,-0.068
-0.824,-1.455,-0.357
-0.228,-1.674,-0.231
-0.462,-1.279,-0.311
-0.543,-0.605,-0.805
-0.533,-1.477,-0.634
0.075,-1.729,-0.484
0.106,-1.333,-0.290
-0.358,-0.922,-0.571
-0.277,-0.880,-0.041
-0.370,-1.255,0.162
-0.125,-0.595,-0.280
-0.489,-0.477,0.256
-0.767,-0.119,-0.216
-0.643,0.521,-0.090
-1.588,0.421,0.099
-1.992,1.043,-0.546
-1.260,0.948,0.047
-0.438,0.549,-0.394
-0.186,1.015,-0.584
-0.524,0.895,0.081
-0.275,0.944,-0.412
0.211,1.363,-0.068
-0.247,1.653,-0.063
-0.368,1.529,-0.494
0.403,-0.093,0.171
1.076,-0.750,-0.060
1.404,0.022,-0.084
0.996,-0.557,0.328
0.923,-0.692,-0.424
1.090,0.033,-0.536
0.391,-0.021,-0.383
0.537,-0.220,-0.598
0.677,-1.149,-0.209
-0.079,-1.396,-0.351
-0.191,-0.385,-0.220
-0.348,-0.598,0.213
0.220,-0.214,-0.264
1.021,0.609,-0.095
0.818,0.059,0.100
1.421,-0.082,-0.105
1.410,0.008,-0.121
0.633,0.444,-0.433
0.821,1.040,-0.221
0.669,0.879,-0.102
0.522,1.197,-0.367
0.623,1.229,-0.107
0.477,0.362,0.043
1.026,0.195,-0.176
1.067,0.374,-0.363
0.285,0.288,-0.359
0.319,0.481,-0.222
0.120,0.587,-0.395
-0.125,0.380,-0.528
-0.066,-0.104,-0.190
-0.610,-0.304,-0.340
-0.344,0.039,-0.379
-0.120,-0.135,0.210
-0.485,-0.620,0.291
-0.133,-0.710,0.236
0.201,-0.515,0.520
0.624,-0.379,0.592
1.385,-0.041,0.090
1.845,0.297,0.139
1.767,0.458,0.044
1.491,1.065,-0.679
1.155,0.907,-0.257
1.066,0.520,-0.433
0.960,0.662,-0.557
0.243,0.270,0.258
0.367,-0.127,-0.050
0.848,-0.527,0.365
0.447,-0.297,0.712
0.112,0.167,-0.094
0.190,-0.737,0.285
0.616,-0.818,0.293
0.766,0.328,-0.081
-0.270,-0.134,0.404
-1.114,-0.487,-0.199
-1.150,0.023,-0.457
-1.596,-0.415,0.014
-1.319,-0.379,0.013
-0.983,-0.410,0.421
-1.191,-0.311,0.153
-0.845,0.403,-0.006
-0.757,-0.134,-0.020
-0.284,-0.490,-0.234
-0.161,-0.183,0.141
-0.648,-0.236,-0.553
-0.360,-0.036,-0.766
-0.353,0.349,-0.280
-0.697,0.539,-0.529
-0.601,0.432,-0.241
-0.395,-0.269,-0.085
-0.231,-0.524,-0.014
-0.162,-0.053,0.540
-0.788,-0.334,0.654
-0.922,-0.824,0.503
